variable,valor
ptrigo,231.0
pmaiz,184.0
psoja1,301.0
psoja2,301.0
pgirasol,300.0
pcebada,200.0
psorgo,165.0
ctrigo1,386.5
cmaiz1,619.4
csoja11,292.9
csoja21,222.2
cgirasol1,304.1
notuse1,608.7
ccebada1,393.1
csorgo1,312.0
ctrigo3,346.7
cmaiz3,554.1
csoja13,266.2
csoja23,222.6
cgirasol3,319.3
notuse3,569.3
ccebada3,353.1
csorgo3,288.5
ctrigo4,309.4
cmaiz4,360.8
csoja14,223.9
csoja24,223.1
cgirasol4,287.5
notuse4,532.5
ccebada4,307.2
csorgo4,251.1
ctrigo5,401.6
cmaiz5,388.1
csoja15,289.1
csoja25,223.1
cgirasol5,303.3
notuse5,624.7
ccebada5,364.0
csorgo5,259.0
ctrigo6,345.9
cmaiz6,415.2
csoja16,260.2
csoja26,223.1
cgirasol6,287.5
notuse6,569.0
ccebada6,364.0
csorgo6,266.9
ctrigo7,354.4
cmaiz7,401.1
csoja17,254.0
csoja27,223.1
cgirasol7,287.5
notuse7,577.5
ccebada7,364.0
csorgo7,266.9
ctrigo8,393.6
cmaiz8,456.0
csoja18,265.0
csoja28,223.1
cgirasol8,287.5
notuse8,616.6
ccebada8,242.9
csorgo8,292.7
ctrigo10,327.0
cmaiz10,440.1
csoja110,352.6
csoja210,213.7
cgirasol10,306.2
notuse10,540.7
ccebada10,263.5
csorgo10,282.7
ctrigo12,355.6
cmaiz12,552.3
csoja112,300.2
csoja212,222.2
cgirasol12,315.1
notuse12,577.8
ccebada12,289.1
csorgo12,262.4
ctrigo13,213.5
cmaiz13,360.2
csoja113,294.1
csoja213,213.7
cgirasol13,306.2
notuse13,427.2
ccebada13,209.1
csorgo13,274.8
ctrigo15,242.5
cmaiz15,354.0
csoja115,350.3
csoja215,239.0
cgirasol15,201.6
notuse15,481.5
ccebada15,225.1
csorgo15,274.8
ctrigo14,184.8
cmaiz14,324.8
csoja114,305.6
csoja214,246.4
cgirasol14,304.3
notuse14,431.2
csorgo14,266.9
csoja22,222.2
cgirasol2,304.1
notuse2,676.2
ccebada2,428.3
csorgo2,327.8
notuse22,650.6
ctrigo2,454.0
cmaiz2,617.5
csoja12,281.1
csoja111,336.1
csoja211,213.7
cgirasol11,306.2
notuse11,518.9
csorgo11,266.9
ccebada11,213.7
ctrigo11,305.2
cmaiz11,430.4
cgirasol9,306.2
notuse9,585.1
ccebada9,269.2
csorgo9,274.8
notuse29,483.0
ctrigo9,371.3
cmaiz9,420.4
csoja19,332.1
csoja29,213.7
ctrigo16,277.3
cmaiz16,479.8
csoja116,250.2
csoja216,239.0
cgirasol16,277.7
notuse16,516.3
ccebada16,238.8
csorgo16,265.1
gtrigo1,166.7
gmaiz1,383.9
gsoja11,208.8
gsoja21,161.8
ggirasol1,132.1
gnada1,328.5
gcebada1,155.6
gsorgo1,287.6
gtrigo3,211.2
gmaiz3,617.9
gsoja13,285.3
gsoja23,208.1
ggirasol3,219.0
gnada3,419.3
gcebada3,244.9
gsorgo3,369.7
